tradition,prs_id,label,first_seen_date,date_added,commit,present,file_relpath
arkanihamed,PRS-01,"P1 (Text, referenced in Hoffman section) — Spacetime as non-fundamental",2026-04-07,2026-04-05,134bdc53,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-02,P2 (Implicit from RC Pilot context) — Geometry as prior to physics,2026-04-07,2026-04-05,134bdc53,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-03,P3 (Speculative — from Hoffman connection) — Consciousness and the derivation of spacetime,2026-04-07,2026-04-05,134bdc53,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-04,P4 (Implicit) — Beauty as a guide in fundamental physics,2026-04-07,2026-04-05,134bdc53,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-05,P5 (PROP-2026-04-08-001) — Positive geometry as universal language of fundamental physics,2026-04-16,2026-04-08,446a5672,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-06,P6 (PROP-2026-04-08-001) — Quantum mechanics as combinatorial-geometric structure,2026-04-16,2026-04-08,446a5672,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-07,P7 (PROP-2026-04-08-007) — Combinatorial structure of the cosmological wavefunction,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-08,P8 (PROP-2026-04-13-012) — Hidden structure and particle unification,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-09,P9 (PROP-2026-04-13-011) — Time emergence from boundary data,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-10,P10 (PROP-2026-04-27-006) — Prague Spring Amplitudes 2 Workshop — Nima Arkani-Hamed featured speaker (May 11,2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-11,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-12,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-13,,2026-06-30,,3d77f63e,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-14,,2026-06-30,,3d77f63e,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-15,,2026-06-30,2026-02-12,3d77f63e,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-16,,2026-06-30,2026-02-12,3d77f63e,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-17,,2026-06-30,2026-02-12,3d77f63e,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-18,,2026-06-30,2026-02-19,3d77f63e,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-19,,2026-06-30,2026-02-19,3d77f63e,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-20,,2026-07-01,2026-07-01,d5473b59,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-21,,2026-08-08,2026-08-08,f2eacfd3,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-22,,2026-08-08,2026-08-08,f2eacfd3,1,wiki/traditions/arkanihamed/prs_triplets.md
