cell_id,sheet_row,col,seq_in_row,words,node,run_id,voice,about,discipline,work_order,confidence,reason,src,pass
r0c8,1,8,1,6,X.2,1,apparatus,,,0,high,sheet copyright line not content,out_batch_01.psv,
r0c9,1,9,2,5,II.4,2,Loughran,,computer science,0,med,pointer to his own Toward Computational Natural Law,out_batch_01.psv,
r1c3,2,3,1,1,X.1,3,apparatus,,,0,high,numeric or single-token,prepass,
r1c6,2,6,2,1,X.1,3,apparatus,,,0,high,numeric or single-token,prepass,
r1c7,2,7,3,1,X.2,4,apparatus,,,0,high,column header for a wordcount tally,out_batch_01.psv,
r1c26,2,26,4,4,X.1,5,apparatus,,,0,high,bookkeeping label,prepass,
r2c3,3,3,1,2,X.2,6,apparatus,,,0,high,in-sheet label for the populated-cell count,out_batch_01.psv,
r2c6,3,6,2,6,X.2,6,apparatus,,,0,high,in-sheet note on how merged cells are counted,out_batch_01.psv,
r3c3,4,3,1,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c4,4,4,2,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c5,4,5,3,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c6,4,6,4,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c7,4,7,5,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c8,4,8,6,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c9,4,9,7,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c10,4,10,8,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c11,4,11,9,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c12,4,12,10,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c13,4,13,11,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c14,4,14,12,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c15,4,15,13,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c16,4,16,14,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c17,4,17,15,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c18,4,18,16,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c19,4,19,17,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c20,4,20,18,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c21,4,21,19,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c22,4,22,20,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c23,4,23,21,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c24,4,24,22,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c25,4,25,23,5,X.1,7,apparatus,,,0,high,bookkeeping label,prepass,
r3c26,4,26,24,1,X.1,7,apparatus,,,0,high,numeric or single-token,prepass,
r3c27,4,27,25,10,X.1,7,apparatus,,,0,high,subtotal wordcount bookkeeping line,out_batch_01.psv,
r4c3,5,3,1,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c4,5,4,2,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c5,5,5,3,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c6,5,6,4,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c7,5,7,5,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c8,5,8,6,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
