heading_id,page,level,ordinal,heading_slug,text,reconstituted,anchored,absorbed,toc_role
p4-comprehensive-bibliography-of-michael-le,4,1,1,p4-comprehensive-bibliography-of-michael-le,Comprehensive Bibliography of Michael Levin,0,1,,structural
p4-peer-reviewed-academic-articles-chronolo,4,2,2,p4-peer-reviewed-academic-articles-chronolo,Peer-Reviewed Academic Articles (chronological),0,1,,structural
p10-book-chapters-chronological,10,2,3,p10-book-chapters-chronological,Book Chapters (chronological),0,1,,structural
p11-conference-papers-chronological,11,2,4,p11-conference-papers-chronological,Conference Papers (chronological),0,1,,structural
p12-popular-science-articles-and-essays,12,2,5,p12-popular-science-articles-and-essays,Popular Science Articles and Essays,0,1,,structural
p13-podcast-appearances-selected-chronologic,13,2,6,p13-podcast-appearances-selected-chronologic,"Podcast Appearances (selected, chronological)",0,1,,structural
p33-selected-publications,33,3,7,p33-selected-publications,Selected Publications:,0,1,,structural
p34-selected-research-papers,34,3,8,p34-selected-research-papers,Selected Research Papers:,0,1,,structural
p34-podcast-appearances-as-a-guest,34,3,9,p34-podcast-appearances-as-a-guest,Podcast Appearances as a Guest:,0,1,,structural
p36-mindscape-podcast-overview,36,3,10,p36-mindscape-podcast-overview,Mindscape Podcast Overview:,0,1,,structural
p36-biography,36,3,11,p36-biography,Biography:,0,1,,structural
p38-biography,38,3,12,p38-biography,Biography,0,1,,structural
p39-research-contributions,39,3,13,p39-research-contributions,Research Contributions,0,1,,structural
p39-publications,39,3,14,p39-publications,Publications,0,1,,structural
p39-books,39,4,15,p39-books,Books,0,1,,structural
p39-selected-research-articles,39,4,16,p39-selected-research-articles,Selected Research Articles,0,1,,structural
p39-science-communication-and-public-engagem,39,3,17,p39-science-communication-and-public-engagem,Science Communication and Public Engagement,0,1,,structural
p40-personal-life,40,3,18,p40-personal-life,Personal Life,0,1,,structural
p40-recognition,40,3,19,p40-recognition,Recognition,0,1,,structural
p41-sean-carroll-s-critique-of-consciousness,41,1,20,p41-sean-carroll-s-critique-of-consciousness,Sean Carroll’s Critique of Consciousness-Centric Universe Models,1,1,p41-universe-models,structural
p42-1-rejecting-panpsychism-quantum-idealism,42,2,22,p42-1-rejecting-panpsychism-quantum-idealism,"1. Rejecting Panpsychism, Quantum Idealism, and Mind-First Physics",1,1,p42-physics,structural
p44-2-scientific-realism-bayesian-reasoning,44,2,24,p44-2-scientific-realism-bayesian-reasoning,"2. Scientific Realism, Bayesian Reasoning, and Theory Confirmation",1,1,p44-confirmation,structural
p47-3-recent-debates-and-discussions-highlig,47,2,26,p47-3-recent-debates-and-discussions-highlig,3. Recent Debates and Discussions Highlighting Carroll’s Stance,0,1,,structural
p51-quantum-holonomy-theory-qht,51,2,27,p51-quantum-holonomy-theory-qht,Quantum Holonomy Theory (QHT),0,1,,structural
p52-wolfram-physics-project-wpp,52,2,28,p52-wolfram-physics-project-wpp,Wolfram Physics Project (WPP),0,1,,structural
p53-comparative-analysis,53,2,29,p53-comparative-analysis,Comparative Analysis,0,1,,structural
p53-conclusion,53,2,30,p53-conclusion,Conclusion,0,1,,structural
p54-structure-for-each-thinker,54,3,31,p54-structure-for-each-thinker,Structure (for each thinker):,0,1,,structural
p55-donald-hoffman-current-and-potential-res,55,2,32,p55-donald-hoffman-current-and-potential-res,Donald Hoffman: Current and Potential Research Agendas,0,1,,structural
p55-1-current-research-agenda-active-project,55,3,33,p55-1-current-research-agenda-active-project,1. Current Research Agenda (Active Projects),0,1,,structural
p56-2-potentially-actionable-extensions-cons,56,3,34,p56-2-potentially-actionable-extensions-cons,"2. Potentially Actionable Extensions (Consistent, Not Yet Undertaken)",0,1,,structural
p57-summary-table-donald-hoffman,57,3,35,p57-summary-table-donald-hoffman,Summary Table (Donald Hoffman),0,1,,structural
p59-michael-levin-current-and-potential-rese,59,2,36,p59-michael-levin-current-and-potential-rese,Michael Levin: Current and Potential Research Agendas,0,1,,structural
p59-1-current-research-agenda-active-project,59,3,37,p59-1-current-research-agenda-active-project,1. Current Research Agenda (Active Projects),0,1,,structural
p60-2-potentially-actionable-extensions-not,60,3,38,p60-2-potentially-actionable-extensions-not,2. Potentially Actionable Extensions (Not Yet Undertaken or Only Theorized),1,1,p60-theorized,structural
p61-summary-table-michael-levin,61,3,40,p61-summary-table-michael-levin,Summary Table (Michael Levin),0,1,,structural
p62-basins-of-morphological-attraction-in-l,62,3,41,p62-basins-of-morphological-attraction-in-l,“Basins of Morphological Attraction” in Levin’s Framework,0,1,,structural
p63-example-regeneration-in-planaria,63,3,42,p63-example-regeneration-in-planaria,Example: Regeneration in Planaria,0,1,,structural
p63-link-to-human-development-e-g-head-to-bo,63,3,43,p63-link-to-human-development-e-g-head-to-bo,"Link to Human Development (e.g., Head-to-Body Ratio)",0,1,,structural
p64-conceptual-formalism-potential,64,3,44,p64-conceptual-formalism-potential,Conceptual Formalism (Potential),0,1,,structural
p64-karl-friston-biography-and-scientific-co,64,2,45,p64-karl-friston-biography-and-scientific-co,Karl Friston: Biography and Scientific Contributions,0,1,,structural
p64-biography,64,3,46,p64-biography,Biography,0,1,,structural
p65-scientific-contributions,65,3,47,p65-scientific-contributions,Scientific Contributions,0,1,,structural
p65-1-statistical-parametric-mapping-spm,65,4,48,p65-1-statistical-parametric-mapping-spm,1. Statistical Parametric Mapping (SPM),0,1,,structural
p65-2-voxel-based-morphometry-vbm,65,4,49,p65-2-voxel-based-morphometry-vbm,2. Voxel-Based Morphometry (VBM),0,1,,structural
p65-3-dynamic-causal-modeling-dcm,65,4,50,p65-3-dynamic-causal-modeling-dcm,3. Dynamic Causal Modeling (DCM),0,1,,structural
p66-4-free-energy-principle-fep,66,4,51,p66-4-free-energy-principle-fep,4. Free Energy Principle (FEP),0,1,,structural
p66-5-active-inference,66,4,52,p66-5-active-inference,5. Active Inference,0,1,,structural
p66-interdisciplinary-impact,66,3,53,p66-interdisciplinary-impact,Interdisciplinary Impact,0,1,,structural
p68-potential-extensions-of-levin-s-research,68,2,54,p68-potential-extensions-of-levin-s-research,Potential Extensions of Levin’s Research via Free Energy / Least Action Frameworks,1,1,p68-action-frameworks,structural
p68-1-formally-modeling-morphogenetic-goal-s,68,3,56,p68-1-formally-modeling-morphogenetic-goal-s,1. Formally Modeling Morphogenetic Goal-Seeking as Free Energy Minimization,1,1,p68-minimization,structural
p69-2-mapping-basins-of-morphological-attrac,69,3,58,p69-2-mapping-basins-of-morphological-attrac,2. Mapping Basins of Morphological Attraction to Lagrangian Paths,0,1,,structural
p69-3-encoding-multiscale-predictive-coding,69,3,59,p69-3-encoding-multiscale-predictive-coding,3. Encoding Multiscale Predictive Coding in Tissue Behavior,0,1,,structural
p69-4-agent-based-implementation-of-morphoge,69,3,60,p69-4-agent-based-implementation-of-morphoge,4. Agent-Based Implementation of Morphogenetic Active Inference,0,1,,structural
p70-5-thermodynamic-and-energetic-cost-model,70,3,61,p70-5-thermodynamic-and-energetic-cost-model,5. Thermodynamic and Energetic Cost Modeling,0,1,,structural
p70-summary-table-of-suggested-extensions,70,2,62,p70-summary-table-of-suggested-extensions,Summary Table of Suggested Extensions,0,1,,structural
p71-toward-a-theory-of-communal-active-infer,71,2,63,p71-toward-a-theory-of-communal-active-infer,Toward a Theory of Communal Active Inference and Morphogenesis,1,1,p71-morphogenesis,structural
p72-1-love-as-the-morphogenetic-link-between,72,3,65,p72-1-love-as-the-morphogenetic-link-between,1. Love as the Morphogenetic Link Between Persons,0,1,,structural
p72-2-the-common-good-as-an-attractor-in-soc,72,3,66,p72-2-the-common-good-as-an-attractor-in-soc,2. The Common Good as an Attractor in Social Morphospace,0,1,,structural
p72-3-constant-action-as-a-communal-variatio,72,3,67,p72-3-constant-action-as-a-communal-variatio,3. Constant Action as a Communal Variational Principle,0,1,,structural
p73-4-human-community-as-a-multiscale-agent,73,3,68,p73-4-human-community-as-a-multiscale-agent,4. Human Community as a Multiscale Agent,0,1,,structural
p73-5-research-and-theoretical-development,73,3,69,p73-5-research-and-theoretical-development,5. Research and Theoretical Development,0,1,,structural
p74-summary,74,2,70,p74-summary,Summary,0,1,,structural
p77-community-morphogenesis-and-the-body-of,77,2,71,p77-community-morphogenesis-and-the-body-of,"Community, Morphogenesis, and the Body of Christ: A Theological Reframing",1,1,p77-theological-reframing,structural
p77-1-recap-community-as-a-morphogenetic-age,77,3,73,p77-1-recap-community-as-a-morphogenetic-age,1. Recap: Community as a Morphogenetic Agent,0,1,,structural
p78-2-n-t-wright-and-the-historical-eschatol,78,2,74,p78-2-n-t-wright-and-the-historical-eschatol,2. N.T. Wright and the Historical-Eschatological Body of Christ,0,1,,structural
p78-key-ideas-from-jesus-and-the-victory-of,78,3,75,p78-key-ideas-from-jesus-and-the-victory-of,Key Ideas from Jesus and the Victory of God :,0,1,,structural
p78-connection-to-the-analogy,78,3,76,p78-connection-to-the-analogy,Connection to the Analogy:,0,1,,structural
p79-3-richard-rohr-and-the-universal-christ,79,2,77,p79-3-richard-rohr-and-the-universal-christ,3. Richard Rohr and the Universal Christ: The Cosmological Christ as Field,1,1,p79-christ-as-field,structural
p79-connection-to-the-analogy,79,3,79,p79-connection-to-the-analogy,Connection to the Analogy:,0,1,,structural
p79-4-toward-a-theological-research-program,79,2,80,p79-4-toward-a-theological-research-program,4. Toward a Theological Research Program: “Christic Morphogenesis”,1,1,p79-morphogenesis,structural
p79-guiding-hypotheses,79,3,82,p79-guiding-hypotheses,Guiding Hypotheses:,0,1,,structural
p80-5-concrete-research-questions,80,2,83,p80-5-concrete-research-questions,5. Concrete Research Questions,0,1,,structural
p81-final-summary,81,2,84,p81-final-summary,Final Summary,0,1,,structural
p85-step-1-bio-bibliography-of-barbara-fredr,85,2,85,p85-step-1-bio-bibliography-of-barbara-fredr,Step 1: Bio/Bibliography of Barbara Fredrickson,0,1,,structural
p87-podcast-appearances-featuring-dr-barbara,87,3,86,p87-podcast-appearances-featuring-dr-barbara,Podcast Appearances Featuring Dr. Barbara Fredrickson,0,1,,structural
p88-500-word-summary-of-love-2-0,88,2,87,p88-500-word-summary-of-love-2-0,500-Word Summary of Love 2.0,0,1,,structural
p90-1-vagal-tone-and-the-vagus-nerve,90,3,88,p90-1-vagal-tone-and-the-vagus-nerve,1. Vagal Tone and the Vagus Nerve,0,1,,structural
p91-2-oxytocin-release-during-shared-positiv,91,3,89,p91-2-oxytocin-release-during-shared-positiv,2. Oxytocin Release During Shared Positive Emotions,0,1,,structural
p91-3-neural-synchrony-in-shared-experiences,91,3,90,p91-3-neural-synchrony-in-shared-experiences,3. Neural Synchrony in Shared Experiences,0,1,,structural
p93-reframing-love-across-scientific-and-the,93,2,91,p93-reframing-love-across-scientific-and-the,Reframing Love Across Scientific and Theological Registers,0,1,,structural
p93-1-is-the-love-fredrickson-describes-buil,93,3,92,p93-1-is-the-love-fredrickson-describes-buil,1. Is the Love Fredrickson Describes Built on Bioelectric Synergies?,0,1,,structural
p94-2-is-this-the-foundation-of-agape-love-a,94,3,93,p94-2-is-this-the-foundation-of-agape-love-a,2. Is This the Foundation of Agape Love (as per Wright and Rohr)?,0,1,,structural
p94-3-is-love-in-this-biophysical-neurocogni,94,3,94,p94-3-is-love-in-this-biophysical-neurocogni,"3. Is Love, in this Biophysical/Neurocognitive Sense, of the Nature of God (per Rohr and Wright)?",1,1,p94-god-per-rohr-and-wright,structural
p95-in-summary,95,3,96,p95-in-summary,In Summary,0,1,,structural
p97-stephen-wolfram-current-and-potential-re,97,2,97,p97-stephen-wolfram-current-and-potential-re,Stephen Wolfram: Current and Potential Research Agenda,0,1,,structural
p97-1-current-research-agenda-active-project,97,3,98,p97-1-current-research-agenda-active-project,1. Current Research Agenda (Active Projects),0,1,,structural
p97-a-the-wolfram-physics-project-wpp,97,4,99,p97-a-the-wolfram-physics-project-wpp,a. The Wolfram Physics Project (WPP),0,1,,structural
p97-b-multicomputation-and-observer-relative,97,4,100,p97-b-multicomputation-and-observer-relative,b. Multicomputation and Observer-Relative Reality,0,1,,structural
p98-c-foundations-of-mathematics-and-metamat,98,4,101,p98-c-foundations-of-mathematics-and-metamat,c. Foundations of Mathematics and Metamathematics,0,1,,structural
p98-2-potentially-actionable-extensions-not,98,3,102,p98-2-potentially-actionable-extensions-not,2. Potentially Actionable Extensions (Not Yet Undertaken or Only Theorized),1,1,p98-theorized,structural
