node_id,parent_id,depth,title,page_start,page_end,note,anchor_unit,headings_inside,anchor_heading,words
P1,,1,Project Launch and Research Foundations,1,40,"authored outline, phase I (p396)",tome:p001h00s01,19,,11497
C1,P1,2,Opening: an AI-ethics mind map,1,3,"Tom: ""Can you draw a mind map for AI ethics""",tome:p001h00s01,0,,214
C2,P1,2,"Bibliographic deep dives, thinker by thinker",3,40,,tome:p003h00s03,19,,11399
S1,C2,3,Michael Levin: comprehensive bibliography and overview,3,16,"existing H1 p4; Tom p16: ""Now, based on these sources, can you provide a 1000 word overview""",tome:p003h00s03,6,,4825
S2,C2,3,"Donald Hoffman: bibliography, biography, podcasts",17,23,"NEW SEAM. No heading. Tom p17: ""Yes, please do, but expect to backfill each section with his more recent work""",tome:p017h00s05,0,,1938
S3,C2,3,"Stephen Wolfram: biography, works, podcasts",24,26,"NEW SEAM. No heading. Model p24: ""Stephen Wolfram is a distinguished computer scientist...""",tome:p024h00s12,0,,819
S4,C2,3,"Jeff Hawkins: books, career, podcasts",27,30,"NEW SEAM. No heading. p27 ""Books: 1. On Intelligence""; Tom p28: ""you left out his podcast appearances""",tome:p027h00s15,0,,1135
S5,C2,3,"Sean Carroll: publications, Mindscape, biography",31,37,"NEW SEAM at p31 (Tom: ""top 100 guests ... Mindscape ... After this fifth research set""); existing H3s p33-37 were filed under Levin",tome:p031h00s19,5,,1941
S6,C2,3,Sabine Hossenfelder: a leading critic,38,40,"Tom p38: ""Let us put a pause ... add another bio, not of a leading contributor but a leading commentator/critic""; existing H3 ""Biography"" p38 was under Levin",tome:p038h00s03,8,p38-biography,741
P2,,1,Framework Integration and Thematic Convergence,41,103,"authored outline, phase II",tome:p041h00s02,79,p41-sean-carroll-s-critique-of-consciousness,15721
C3,P2,2,Sean Carroll's critique of consciousness-centric universe models,41,53,"existing H1 p41 (wrapped heading, reconstituted); includes QHT vs WPP comparison p51-53",tome:p041h00s02,8,p41-sean-carroll-s-critique-of-consciousness,4346
C4,P2,2,"Current and potential research agendas, thinker by thinker",54,100,"Tom p54: ""Now let us look over all these thinkers and their programs, using the lens of current actionable research""",tome:p054h00s02,69,p54-structure-for-each-thinker,10424
S7,C4,3,Structure (for each thinker),54,54,existing H3,tome:p054h00s02,1,p54-structure-for-each-thinker,255
S8,C4,3,Donald Hoffman: research agenda,55,58,"existing H2, was buried under Carroll H1",tome:p055h00s02,4,p55-donald-hoffman-current-and-potential-res,937
S9,C4,3,Michael Levin: research agenda; basins of morphological attraction,59,63,existing H2 + H3s,tome:p059h00s03,7,p59-michael-levin-current-and-potential-rese,1125
S10,C4,3,Karl Friston: biography and scientific contributions,64,67,"existing H2; Tom p64 pivot ""shall we pivot now to...""",tome:p064h01s01,10,p64-karl-friston-biography-and-scientific-co,872
S11,C4,3,Levin x Friston: extensions via free energy and least action,68,70,existing H2 (reconstituted),tome:p068h00s03,7,p68-potential-extensions-of-levin-s-research,608
