cell_id,sheet_row,seq_in_row,words,stratum,weight,node,voice,about,confidence,work_order,reason
r1c26,2,4,4,A_frag<=5,17.5,X.1,apparatus,,high,0,sheet bookkeeping label
r3c26,4,24,1,A_frag<=5,17.5,X.1,apparatus,,high,0,"bare number, word-count total"
r5c9,6,7,1,A_frag<=5,17.5,X.1,apparatus,,high,0,bare number
r5c15,6,13,1,A_frag<=5,17.5,X.1,apparatus,,high,0,bare number
r6c25,7,23,5,A_frag<=5,17.5,X.1,apparatus,,high,0,row-range subtotal label
r20c3,21,1,20,B_6-20,21.92,I.2.3,Loughran,,low,0,analogy: traditions unify like EM+weak at high energy
r29c9,30,7,19,B_6-20,21.92,III.2.3,Loughran,,med,1,to-do: find biologist allowing empirical Lamarckian evolution
r30c6,31,4,2,A_frag<=5,17.5,Z,Loughran,,low,0,"bare name, referent unresolved"
r44c9,45,3,54,C_21-60,24.82,I.4.2,Loughran,,med,0,names rhetoric as the craft of loving well in communication
r46c18,47,5,5,A_frag<=5,17.5,X.1,apparatus,,high,0,table header from an embedded data table
r46c19,47,6,2,A_frag<=5,17.5,X.1,apparatus,,high,0,"table header, 2016 electorate data"
r50c3,51,1,10,B_6-20,21.92,III.3,Loughran,,med,0,"competing notions of happiness, practical reason"
r52c4,53,2,5,A_frag<=5,17.5,I.3.2,Loughran,,med,1,"measurement design: pretest/posttest, rate this book"
r52c5,53,3,6,B_6-20,21.92,I.3.1,Loughran,,low,0,backward design of a text/narrative as instrument
r54c5,55,1,2,A_frag<=5,17.5,X.2,Loughran,,high,0,in-sheet label heading the next cell
r54c7,55,3,67,D_61-200,23.7,I.3.2,Loughran,MacIntyre,high,0,explicit RUBRIC for mastery of the tradition-encounter account
r56c5,57,1,2,A_frag<=5,17.5,X.2,Loughran,,high,0,in-sheet label heading the next cell
r62c4,63,1,3,A_frag<=5,17.5,Z,Loughran,,low,0,"fragment, referent unresolved"
r84c6,85,4,78,D_61-200,23.7,III.1,Loughran,,high,0,is every person one instance of consciousness; layered Cs
r85c4,86,2,202,E_>200,6.59,I.1,Smedley Butler,,med,0,QUOTED war-is-a-racket passage; empire diagnosis
r94c4,95,2,11,B_6-20,21.92,III.2.6,Loughran,,med,1,to-do: examples of competing US history narratives
r94c6,95,4,13,B_6-20,21.92,III.2.6,Loughran,,low,1,to-do: blend PoP narrative with alternative US narratives
r108c4,109,2,27,C_21-60,24.82,II.4,Bernard Williams,Williams,high,0,"cited: Morality (1972) p.xi, style and intent"
r122c6,123,1,1,A_frag<=5,17.5,Z,Loughran,,low,0,two-word fragment
r124c6,125,1,6,B_6-20,21.92,I.4.1,Loughran,,low,0,"information flow conditions: savvy, resources, safety"
r130c4,131,1,8,B_6-20,21.92,III.2.5,Loughran,,med,0,organisms are algorithms; algorithms hack organisms
r151c3,152,1,22,C_21-60,24.82,III.4,Loughran,,med,1,to-do: healing as expression of love in illness
r156c6,157,3,5,A_frag<=5,17.5,III.4,Loughran,,med,0,incarnation of love
r171c3,172,1,12,B_6-20,21.92,II.4,Loughran,Rohr,high,0,source pointer: Rohr on reading scripture
r172c4,173,2,400,E_>200,6.59,III.2.8,Rohr,Rohr,high,0,QUOTED 400w Rohr text on reading scripture
r178c4,179,2,15,B_6-20,21.92,III.2.10,Loughran,,med,0,value and prices set by mature members negotiating
r186c5,187,3,57,C_21-60,24.82,III.2.9,Loughran,Pentland,high,0,AP=Pentland; millisecond-scale computational social science
r186c8,187,6,43,C_21-60,24.82,III.2.9,Loughran,Pentland,high,0,connections predict behavior 300pct better than demographics
r193c8,194,5,168,D_61-200,23.7,III.1.1,Loughran+Chopra,Chopra,med,0,Loughran framing around quoted Chopra QM-spirituality claims
r197c3,198,1,9,B_6-20,21.92,I.4.3,Loughran,,low,1,to-do: family ties as case study in community
r207c8,208,5,278,E_>200,6.59,I.3.1,Loughran,,med,1,Amash case: how reliability information propagates in a caucus
r215c11,216,8,45,C_21-60,24.82,III.1,Loughran,,high,0,"we are actually computing what is true, good and right"
r224c7,225,5,21,C_21-60,24.82,I.4.2,Loughran,,med,0,success story as rhetorical remedy
r231c12,232,7,37,C_21-60,24.82,III.2.4,Loughran,Hawkins,high,0,thousand-brains paradigm answers the no-paradigm objection
r232c6,233,4,62,D_61-200,23.7,III.2.5,Irving+Askell,Irving;Askell,high,0,QUOTED OpenAI/distill safety-needs-social-scientists intro
r239c6,240,4,5,A_frag<=5,17.5,Z,Loughran,,low,0,"reference marker, unresolved"
r241c7,242,5,18,B_6-20,21.92,I.1,Loughran,,high,0,"diagnosis: erosion of checks, incivility, politicization"
r246c6,247,3,1,A_frag<=5,17.5,X.1,apparatus,,high,0,single stray character
r248c11,249,5,93,D_61-200,23.7,III.2.9,Loughran,,med,0,iterated preference resolution through politics and market
r249c3,250,1,21,C_21-60,24.82,I.4.1,Loughran,,med,0,third pass adding AI reflection to inform and guide
r251c5,252,2,61,D_61-200,23.7,III.2,Loughran,,high,0,AUTHORED STRUCTURE: layers and which sciences contribute
r253c7,254,5,33,C_21-60,24.82,III.1,Loughran,,high,0,matrix-multiplication account unifying the layers
r253c10,254,8,70,D_61-200,23.7,III.3,Loughran,,high,0,rationale for intervening in nature; natural law as operation matrices
r254c5,255,3,62,D_61-200,23.7,III.2.1,Loughran,,high,0,quantum reconstruction from three informational postulates
r256c5,257,3,1,A_frag<=5,17.5,II.4,Loughran,,high,0,bare source URL
r258c3,259,1,18,B_6-20,21.92,I.3.1,Loughran,,med,0,what must be shown to demonstrate a whole system of thought
r258c4,259,2,18,B_6-20,21.92,I.3.2,Loughran,,high,0,"criterion 1: coherence lite, no internal inconsistency"
r265c4,266,2,4,A_frag<=5,17.5,Z,Loughran,,low,0,place-name fragment
r270c14,271,11,48,C_21-60,24.82,III.2.5,Loughran,,high,0,chess to Go: shrinking human advantage over AI
r279c4,280,2,1,A_frag<=5,17.5,II.4,Loughran,,high,0,"bare source URL, informed voters study"
r281c3,282,1,11,B_6-20,21.92,III.2.9,Loughran,,med,0,"people feel better informed with the internet, 2014 study"
r288c4,289,2,657,E_>200,6.59,III.1.1,Loughran,,high,0,zero mind-independent worlds vs Everett; long argument
r289c3,290,1,25,C_21-60,24.82,III.2.5,Loughran,Chollet,high,0,Chollet definition of intelligence
r313c5,314,3,119,D_61-200,23.7,III.2.1,Chiribella et al,Chiribella,high,0,QUOTED purification postulate passage
r314c12,315,10,34,C_21-60,24.82,III.2.5,Loughran,,med,0,"method, capacity, learning as three dimensions of intelligence"
r318c14,319,9,130,D_61-200,23.7,I.2.3,Loughran,MacIntyre;Tim Urban,med,0,bias as motion; ties to missing real incommensurability
r319c4,320,2,16,B_6-20,21.92,III.2.9,Loughran,Schelling,high,0,Schelling weak-preference account of urban sorting
r320c5,321,3,37,C_21-60,24.82,III.2,Loughran,,high,0,AUTHORED STRUCTURE: theology to cosmology to neuro to sociology to AI
r321c3,322,1,42,C_21-60,24.82,III.1,Loughran,,high,1,dialectical line for primacy of consciousness; needs a name
